respondent_id,company_size,tech_company,benefits,mh_options_known,boss_mh_discuss,resources,anonymity_protected,leave_easy,bad_conseq_mh_boss,bad_conseq_ph_boss,mh_comfort_coworkers,mh_comfort_supervisor,mh_ph_boss_serious,observed_mhdcoworker_bad_conseq,prev_boss,prev_benefits,prev_mh_options_known,prev_boss_mh_discuss,prev_resources,prev_anonymity_protected,bad_conseq_mh_prev_boss,bad_conseq_ph_prev_boss,mh_comfort_prev_coworkers,mh_comfort_prev_supervisor,mh_ph_prev_boss_serious,prev_observed_bad_conseq_mh,ph_interview,mh_interview,friends_family_mhd_comfort,ever_observed_mhd_bad_response,mhdcoworker_you_not_reveal,mh_family_history,remote_work
651,6-25,1,I don't know,I am not sure,No,No,Yes,Neither easy nor difficult,Maybe,No,Yes,No,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Somewhat open,No,Not applicable,No,Sometimes
652,More than 1000,0,I don't know,I am not sure,No,I don't know,I don't know,Neither easy nor difficult,Maybe,Maybe,No,No,Yes,0,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,"No, at none of my previous employers",Some of my previous employers,I don't know,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,No,Never
653,6-25,1,I don't know,I am not sure,No,No,I don't know,Very easy,No,No,Maybe,Maybe,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",Some did,None of them,Maybe,Maybe,Somewhat open,No response,No response,Yes,Always
654,26-100,0,I don't know,No,No,No,I don't know,Very difficult,Maybe,No,No,No,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Not open at all,Maybe/Not sure,No,I don't know,Sometimes
655,26-100,0,Yes,No,No,No,I don't know,Very difficult,Maybe,No,No,No,No,0,1,"No, none did","Yes, I was aware of all of them",None did,None did,I don't know,None of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,No,Somewhat open,Maybe/Not sure,No response,Yes,Never
656,6-25,1,No,Not applicable,No,No,I don't know,I don't know,Yes,Maybe,No,No,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",I don't know,Some of them,Maybe,Maybe,Not applicable to me (I do not have a mental illness),No response,No response,I don't know,Never
657,100-500,1,Yes,I am not sure,I don't know,Yes,I don't know,I don't know,Maybe,No,Maybe,Maybe,I don't know,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,Some of my previous employers,I don't know,Some did,None of them,Yes,Maybe,Somewhat open,Maybe/Not sure,No response,Yes,Always
658,More than 1000,1,Yes,Yes,No,No,No,Very difficult,Maybe,No,No,No,No,0,1,Some did,"Yes, I was aware of all of them",None did,None did,I don't know,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Somewhat open,No,Not applicable,Yes,Sometimes
659,100-500,1,I don't know,No,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,0,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Somewhat open,Maybe/Not sure,No,I don't know,Always
660,6-25,1,I don't know,I am not sure,No,No,I don't know,I don't know,No,No,Maybe,Maybe,I don't know,0,1,I don't know,I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Not applicable to me (I do not have a mental illness),No,Not applicable,No,Sometimes
661,500-1000,1,I don't know,No,No,Yes,I don't know,I don't know,Maybe,No,No,No,No,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers","No, at none of my previous employers",Some did,None of them,Maybe,Maybe,Very open,No,Not applicable,Yes,Never
662,More than 1000,1,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,No,No,No,No,I don't know,0,1,"Yes, they all did",I was aware of some,"Yes, they all did","Yes, they all did",Sometimes,None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,Maybe,Somewhat open,No,Not applicable,Yes,Sometimes
663,More than 1000,1,Yes,Yes,Yes,Yes,Yes,Somewhat easy,No,No,Maybe,Yes,Yes,0,1,Some did,"Yes, I was aware of all of them","Yes, they all did",Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Somewhat open,No response,No response,Yes,Sometimes
664,6-25,1,Yes,No,No,No,I don't know,Somewhat difficult,No,No,Maybe,Maybe,Yes,0,1,"Yes, they all did",I was aware of some,None did,None did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Yes,Maybe,Somewhat open,No,Not applicable,No,Sometimes
665,26-100,1,No,Not applicable,No,No,I don't know,Somewhat easy,No,No,Maybe,Maybe,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Maybe,Maybe,Somewhat open,No,Not applicable,No,Always
666,500-1000,1,Yes,Yes,No,I don't know,Yes,Neither easy nor difficult,No,No,Maybe,Yes,I don't know,0,1,"Yes, they all did","Yes, I was aware of all of them",Some did,Some did,"Yes, always",None of them,Some of them,Some of my previous employers,"Yes, at all of my previous employers",Some did,None of them,Maybe,Maybe,Very open,No,Not applicable,I don't know,Sometimes
667,26-100,1,I don't know,No,No,No,I don't know,I don't know,No,No,Maybe,No,No,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Somewhat open,No,Not applicable,No,Sometimes
668,6-25,1,I don't know,I am not sure,I don't know,I don't know,I don't know,Somewhat easy,No,No,Maybe,Yes,I don't know,0,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,No,Somewhat open,Maybe/Not sure,No response,I don't know,Sometimes
669,6-25,1,Yes,I am not sure,No,No,I don't know,Very difficult,Yes,Maybe,Maybe,Maybe,Yes,1,1,"Yes, they all did",I was aware of some,Some did,Some did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,"Yes, they all did",Some of them,Maybe,Maybe,Not applicable to me (I do not have a mental illness),"Yes, I observed",Yes,Yes,Sometimes
670,26-100,0,No,Not applicable,No,No,No,Very difficult,Yes,Yes,No,No,No,0,1,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,"Yes, all of them","Yes, all of them","Yes, at all of my previous employers","No, at none of my previous employers",None did,None of them,No,No,Neutral,"Yes, I observed",Maybe,I don't know,Never
671,6-25,1,Yes,No,No,I don't know,Yes,Very difficult,No,No,No,Maybe,I don't know,0,1,"Yes, they all did",I was aware of some,Some did,Some did,"Yes, always",Some of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Not open at all,Maybe/Not sure,No,No,Sometimes
672,26-100,1,Yes,Yes,No,No,Yes,Somewhat easy,No,No,Yes,Yes,No,0,1,"Yes, they all did",I was aware of some,Some did,None did,I don't know,Some of them,None of them,Some of my previous employers,Some of my previous employers,None did,None of them,Yes,Yes,Very open,Maybe/Not sure,No,Yes,Sometimes
673,More than 1000,0,Yes,I am not sure,Yes,I don't know,I don't know,Somewhat easy,Maybe,No,Maybe,Yes,I don't know,0,0,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,No,No,Somewhat open,No response,No response,No,Sometimes
674,100-500,1,Yes,Yes,No,I don't know,Yes,Somewhat easy,Yes,Maybe,Yes,Yes,No,1,1,"Yes, they all did",I was aware of some,Some did,Some did,"Yes, always",None of them,Some of them,"Yes, at all of my previous employers","Yes, at all of my previous employers",Some did,None of them,No,No,Very open,"Yes, I experienced",Yes,I don't know,Always
675,6-25,1,No,Not applicable,No,No,I don't know,Neither easy nor difficult,Maybe,No,Maybe,No,I don't know,0,1,"No, none did",N/A (not currently aware),I don't know,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,Maybe,Somewhat open,Maybe/Not sure,No response,Yes,Sometimes
676,More than 1000,0,I don't know,I am not sure,Yes,Yes,I don't know,Very difficult,Yes,No,No,No,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,None of them,"No, at none of my previous employers",Some of my previous employers,Some did,None of them,Maybe,No,Somewhat open,No,Not applicable,Yes,Sometimes
677,6-25,1,Yes,Yes,Yes,Yes,Yes,Neither easy nor difficult,No,No,Maybe,No,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,Somewhat open,"Yes, I observed",Yes,No,Never
678,More than 1000,0,Yes,I am not sure,I don't know,Yes,Yes,Neither easy nor difficult,Maybe,No,No,Maybe,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,Somewhat open,"Yes, I observed",No,Yes,Sometimes
679,26-100,0,No,Not applicable,Yes,I don't know,Yes,Somewhat difficult,Yes,No,No,No,I don't know,0,1,Some did,I was aware of some,None did,None did,I don't know,"Yes, all of them",Some of them,Some of my previous employers,"No, at none of my previous employers",I don't know,Some of them,Maybe,Maybe,Somewhat open,"Yes, I experienced",No,No,Sometimes
680,26-100,1,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Maybe,No,No,No,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,No,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,Somewhat open,No,Not applicable,I don't know,Sometimes
681,100-500,1,Yes,No,No,I don't know,I don't know,Very easy,Maybe,No,No,Maybe,I don't know,0,1,Some did,"No, I only became aware later",None did,Some did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,Maybe,No,Somewhat open,Maybe/Not sure,No,Yes,Sometimes
682,6-25,1,Yes,I am not sure,No,I don't know,I don't know,Somewhat easy,Maybe,No,Yes,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,Yes,Sometimes
683,More than 1000,1,Yes,I am not sure,Yes,No,Yes,Very difficult,Yes,No,Yes,No,No,1,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,No,Neutral,"Yes, I observed",Yes,I don't know,Sometimes
684,6-25,1,I don't know,I am not sure,I don't know,Yes,Yes,Very easy,No,No,Maybe,Maybe,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,"No, at none of my previous employers",I don't know,I don't know,None of them,Maybe,Maybe,Neutral,No,Not applicable,No,Sometimes
685,6-25,1,I don't know,No,I don't know,I don't know,I don't know,Very easy,No,No,Yes,Yes,Yes,0,1,I don't know,N/A (not currently aware),None did,None did,I don't know,None of them,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Yes,Maybe,Somewhat open,Maybe/Not sure,No,No,Sometimes
686,100-500,1,I don't know,No,No,No,I don't know,Somewhat easy,Maybe,No,Yes,Maybe,I don't know,0,1,I don't know,N/A (not currently aware),None did,Some did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Maybe,No,Very open,No response,No response,No,Sometimes
687,100-500,1,I don't know,I am not sure,No,No,I don't know,I don't know,Maybe,No,Maybe,Yes,I don't know,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,Some of them,Some of them,Some of my previous employers,Some of my previous employers,None did,None of them,No,No,Somewhat open,No,Not applicable,Yes,Sometimes
688,More than 1000,0,No,Not applicable,Yes,Yes,I don't know,Somewhat easy,No,No,Maybe,Yes,No,0,1,"No, none did",I was aware of some,None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,Some of my previous employers,Some did,None of them,Yes,Maybe,Somewhat not open,"Yes, I experienced",Maybe,Yes,Never
689,More than 1000,0,I don't know,I am not sure,Yes,Yes,Yes,Very easy,No,No,Yes,Yes,Yes,0,1,I don't know,"No, I only became aware later",None did,None did,I don't know,I don't know,Some of them,Some of my previous employers,I don't know,I don't know,None of them,No,No,Somewhat not open,No,Not applicable,I don't know,Sometimes
690,6-25,1,I don't know,No,No,I don't know,I don't know,Very easy,No,No,Maybe,Yes,I don't know,0,1,I don't know,N/A (not currently aware),I don't know,None did,I don't know,Some of them,Some of them,"No, at none of my previous employers","No, at none of my previous employers",None did,Some of them,No,No,Not open at all,No,Not applicable,Yes,Never
691,1-5,1,No,Not applicable,No,No,I don't know,Very easy,No,No,Yes,Yes,Yes,0,1,"No, none did",N/A (not currently aware),None did,None did,I don't know,I don't know,None of them,Some of my previous employers,Some of my previous employers,I don't know,None of them,Maybe,Maybe,Somewhat open,No,Not applicable,No,Always
692,100-500,1,I don't know,I am not sure,No,No,I don't know,Somewhat difficult,Yes,Maybe,No,No,No,1,1,Some did,I was aware of some,Some did,Some did,"Yes, always",None of them,None of them,Some of my previous employers,Some of my previous employers,Some did,None of them,No,No,Neutral,"Yes, I observed",Yes,No,Always
693,1-5,1,Not eligible for coverage / N/A,Not applicable,No,Yes,Yes,Very easy,No,No,Maybe,Yes,Yes,0,1,I don't know,N/A (not currently aware),I don't know,None did,Sometimes,Some of them,Some of them,Some of my previous employers,Some of my previous employers,Some did,Some of them,No,No,Somewhat open,No,Not applicable,Yes,Sometimes
694,More than 1000,0,I don't know,No,No,No,I don't know,Very difficult,Yes,No,No,No,No,0,1,"No, none did",N/A (not currently aware),None did,None did,No,"Yes, all of them",None of them,"No, at none of my previous employers","No, at none of my previous employers",None did,None of them,Maybe,No,Not open at all,"Yes, I observed",No,Yes,Never
695,26-100,1,Yes,Yes,No,I don't know,I don't know,Somewhat easy,Yes,Maybe,No,Maybe,No,0,1,"Yes, they all did","Yes, I was aware of all of them",None did,Some did,"Yes, always",None of them,None of them,"Yes, at all of my previous employers","Yes, at all of my previous employers","Yes, they all did",None of them,Maybe,No,Somewhat open,No,Not applicable,Yes,Sometimes
